Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
Thursday,8:30,09:45,SDP,ANT 101,Intro to Cultural Anthropology,1311,S1,W-110,Basharat Issa,75
Wednesday,8:30,09:45,SDP,ANT 101,Intro to Cultural Anthropology,1311,S1,SFCL,Basharat Issa,75
Thursday,8:30,09:45,SDP,ANT 423,The Ethnographic Eye/I,1003,S1,SFCL,Aaron Mulvany,75
Friday,8:30,09:45,SDP,ANT 423,The Ethnographic Eye/I,1003,S1,E-012,Aaron Mulvany,75
Wednesday,8:30,09:45,CH,ANT/MUS 203,Musicking: Anthropology of Mus,1004,S1,FF-W242,Daniyal Ahmed,75
Monday,8:30,09:45,CH,ANT/MUS 203,Musicking: Anthropology of Mus,1004,S1,CPE HALL,Daniyal Ahmed,75
Thursday,8:30,09:45,ISCIM,BIO 102,The Secret World of Microbes,1005,L1,FF-C200,Javeria Samad,75
Tuesday,8:30,09:45,ISCIM,BIO 102,The Secret World of Microbes,1005,L1,PG-1,Javeria Samad,75
Thursday,11:30,14:20,ISCIM,BIO 102L,The Secret World of Microbes,1006,T1,LG-C025,Humaira Qureshi,170
Wednesday,10:00,11:15,ISCIM,BIO 115,Introduction to Bioinformatics,1007,L1,SFCL,Arshan Nasir,75
Friday,10:00,11:15,ISCIM,BIO 115,Introduction to Bioinformatics,1007,L1,E-012,Arshan Nasir,75
Monday,8:30,09:45,ISCIM,BIO 121,Introduction to Biochemistry,1008,L1,GF-E121,Humaira Jamshed,75
Wednesday,8:30,09:45,ISCIM,BIO 121,Introduction to Biochemistry,1008,L1,GF-E121,Humaira Jamshed,75
Thursday,11:15,14:05,ISCIM,BIO 121L,Biochemistry Lab,1009,T1,FF-W243,Amber Talat,170
Thursday,8:30,09:45,ISCIM,BIO 201,Understanding the Human Body,1010,L1,PG-1,Humaira Jamshed,75
Tuesday,8:30,09:45,ISCIM,BIO 201,Understanding the Human Body,1010,L1,GF-C109,Humaira Jamshed,75
Friday,13:05,14:20,ISCIM,BIO 201,Understanding the Human Body,1330,L2,C-015,Humaira Jamshed,75
Tuesday,14:30,15:45,ISCIM,BIO 201,Understanding the Human Body,1330,L2,FF-C200,Humaira Jamshed,75
Thursday,11:30,14:20,ISCIM,BIO 201L,Understanding the Human Lab,1011,T1,CPE HALL,Humaira Jamshed,170
Wednesday,10:00,12:50,ISCIM,BIO 201L,Understanding the Human Lab,1339,T2,GF-E121,Humaira Jamshed,170
Friday,8:30,09:45,ECE,CE 325,Digital System Design,1012,L1,LG09,Muhammad Farhan,75
Monday,15:40,16:55,ECE,CE 325,Digital System Design,1012,L1,W-321,Muhammad Farhan,75
Friday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1026,L3,E-003,Sorath Hansrajani,75
Thursday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1026,L3,GF-C109,Sorath Hansrajani,75
Monday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1027,L4,E-011,Munzir Zafar,75
Wednesday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1027,L4,FF-N220,Munzir Zafar,75
Thursday,11:30,12:45,ECE,CE/CS 321/330,Computer Architecture,1028,L5,W-110,Sorath Hansrajani,75
Monday,11:30,12:45,ECE,CE/CS 321/330,Computer Architecture,1028,L5,GF-E121,Sorath Hansrajani,75
Monday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1029,L6,GF-E101,Tariq Kamal,75
Wednesday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1029,L6,FF-N219,Tariq Kamal,75
Tuesday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1030,L7,FF-E220,Farhan Khan,75
Friday,8:30,09:45,ECE,CE/CS 321/330,Computer Architecture,1030,L7,GF-E101,Farhan Khan,75
Wednesday,11:30,14:20,ECE,CE/CS 321L/330L,Computer Architecture Lab,1031,T1,E-100,Tariq Kamal,170
Thursday,11:30,14:20,ECE,CE/CS 321L/330L,Computer Architecture Lab,1032,T2,LG26,Farhan Khan,170
Monday,8:30,11:20,ECE,CE/CS 321L/330L,Computer Architecture Lab,1033,T3,PG-1,Farhan Khan,170
Friday,8:30,11:20,ECE,CE/CS 321L/330L,Computer Architecture Lab,1034,T4,GF-C109,Saima Shaheen,170
Wednesday,10:00,12:50,ECE,CE/CS 321L/330L,Computer Architecture Lab,1035,T5,W-121,Ahmad Usman,170
Tuesday,8:30,11:20,ECE,CE/CS 321L/330L,Computer Architecture Lab,1036,T6,E-003,Haseeb Khan,170
Tuesday,13:05,15:55,ECE,CE/CS 321L/330L,Computer Architecture Lab,1037,T7,GF-C109,Haseeb Khan,170
Thursday,8:30,11:00,CND,CND 103,Intro to Design and Media,1040,D1,LG09,Rakhshaan Qazi,150
Tuesday,8:30,11:00,CND,CND 103,Intro to Design and Media,1040,D1,W-114,Rakhshaan Qazi,150
Thursday,8:30,11:00,CND,CND 103,Intro to Design and Media,1041,D2,W-121,Momin Zafar,150
Tuesday,8:30,11:00,CND,CND 103,Intro to Design and Media,1041,D2,C-015,Momin Zafar,150
Monday,8:30,11:00,CND,CND 103,Intro to Design and Media,1042,D3,W-111,Rohama Malik,150
Tuesday,11:35,14:05,CND,CND 103,Intro to Design and Media,1042,D3,E-003,Rohama Malik,150
Thursday,11:30,14:20,CND,CND 103L,Intro to Design and Media LAB,1325,T1,W-234,Luluwa Murtaza,170
Thursday,8:30,11:20,CND,CND 103L,Intro to Design and Media LAB,1326,T2,FF-E220,Barira Yousuf,170
