Day,Start Time,End Time,Course title,Room,Instructor,Actual Class Duration
M,8:30 AM,9:45 AM,Data Science,FF-W242,Zeehasham Rasheed,75
M,12:20 PM,1:10 PM,Electric Circuits-II,FF-W242,Saad Baig,50
M,8:30 AM,9:45 AM,Computer Architecture,GF-E101,Tariq Kamal,75
M,11:30 AM,12:45 PM,What is Modernity?,GF-E101,Muhammad Salman,75
M,1:0 PM,2:15 PM,What is Modernity?,GF-E101,Abdullah Mirza,75
M,2:30 PM,5:20 PM,Designing For & w/h People Lab,GF-E101,Barira Yousuf,170
M,8:30 AM,11:20 AM,Computer Architecture Lab,SFCL,Farhan Khan,170
M,10:0 AM,11:15 AM,Ethics of AI,SFCL,Aeyaz Jamil Kayani,75
M,11:35 AM,12:50 PM,Hikma I,SFCL,Abdullah Mirza,75
M,1:5 PM,2:20 PM,Complex Analysis,SFCL,Sajal Rana,75
M,2:35 PM,3:50 PM,Philosophical Hermeneutics,SFCL,Irfan Muhammad,75
M,4:5 PM,5:20 PM,Quantum Mechanics,SFCL,Syed Muntazir Mehdi Abidi,75
M,8:30 AM,9:45 AM,Discrete Mathematics,E-012,Huma abid,75
M,8:30 AM,9:45 AM,Introduction to Political Sci,E-012,Ana Tawfiq Hussain,75
M,10:0 AM,12:30 PM,"Engineering, Design, & Innov.",E-012,Munzir Zafar,150
M,12:45 PM,2:25 PM,Ghazal Gayeki,E-012,Shahid Hamid,100
M,2:40 PM,3:55 PM,Social Theory II,E-012,Noman Baig,75
M,8:30 AM,9:45 AM,Digital System Design,W-121,Muhammad Farhan,75
M,8:30 AM,9:45 AM,Intro to HCI,W-121,Neelma Bhatti,75
M,10:0 AM,11:15 AM,What is Modernity?,W-121,Mahso Gichki,75
M,11:30 AM,12:45 PM,Education Planning,W-121,Muhammad Aatir Khan,75
M,1:0 PM,3:50 PM,Digital Signal Processing Lab,W-121,Saad Baig,170
M,4:5 PM,5:20 PM,Intro to Punjabi Sufi Lit,W-121,Naila Pervaiz,75
M,8:30 AM,9:45 AM,Scientific Methods,FF-E220,Hassaan Furqan Khan,75
M,8:30 AM,9:45 AM,OOP & Design Methodologies,FF-E220,Nadia Nasir,75
M,10:0 AM,11:15 AM,Principles of Macroeconomics,FF-E220,Mohammad Moeini Feizabadi,75
M,11:30 AM,2:0 PM,"Engineering, Design, & Innov.",FF-E220,Muhammad Umer Tariq,150
M,2:15 PM,3:5 PM,Electromagnetic Theory,FF-E220,Shafayat Abrar,50
M,3:20 PM,4:35 PM,History of SA music,FF-E220,Daniyal Ahmed,75
M,4:50 PM,6:5 PM,Petrocultures,FF-E220,Tajreen Jafri,75
M,8:30 AM,12:15 PM,Performing Narrative,GF-E121,Muneera Batool,225
M,8:30 AM,9:45 AM,What is Modernity?,GF-E121,Aqdas Afzal,75
M,10:0 AM,11:15 AM,Introduction to Reinforcement,GF-E121,Mohammad Shaikh,75
M,12:30 PM,1:45 PM,Capstone (Kaavish) II,GF-E121,Abdul Samad,75
M,2:0 PM,3:15 PM,Intro to HCI,GF-E121,Neelma Bhatti,75
M,3:30 PM,4:45 PM,Discrete Mathematics,GF-E121,Rameez Ragheb,75
M,8:30 AM,9:45 AM,Understanding the Human Body,FF-W243,Humaira Jamshed,75
M,1:5 PM,2:20 PM,Capstone (Kaavish) I,FF-W243,Waqar Saleem,75
M,2:35 PM,3:50 PM,Data Science,FF-W243,Zeehasham Rasheed,75
M,8:30 AM,9:45 AM,Elements of Aesthetics 1,W-234,Sheikh Taha Ahmed Munir,75
M,10:0 AM,11:15 AM,Jehan-e-Urdu,W-234,Syed Afzal Ahmed,75
M,11:30 AM,12:45 PM,Algorithms: Design & Analysis,W-234,Waqar Saleem,75
M,1:0 PM,2:15 PM,Power Electronics,W-234,Ishtiyaq Makda,75
